alpha,dgp,statistic,n,B,repetitions,true_value,exact,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.7115726418083308,,,,,,,,,-2.449785395843694,-2.0698973114842922,,,,,,-4.4347800469615555
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0368528008818008,,,,,,,,,-1.1500350368295043,-0.7794875552622835,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.3838260845162529,,,,,,,,,-0.35546705368706577,-0.3675318291632028,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2433701394206593,,,,,,,,,-1.1741164681048184,-1.2423589268515993,,,,,,-1.8575557324401881
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9161119152574786,,,,,,,,,-1.7925297703908711,-1.3125117305511262,,,,,,-2.680230522304184
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.47231978292533905,,,,,,,,,-0.5653521827273303,-0.25954362983657886,,,,,,-0.18089470838327737
0.025,DGPNorm_0_1,mean,4,10,1000,0,-2.2693287643846576,,,,,,,,,-2.703500182825194,-2.47479827903035,,,,,,-8.949502275313186
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0137400084703363,,,,,,,,,-1.106122967174686,-0.9413340488666357,,,,,,-7.165043927724531
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.192954639467334,,,,,,,,,-0.6422780011707814,-0.45501009753480437,,,,,,-0.34751027389521194
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.25811531284753664,,,,,,,,,-0.3780089881194597,-0.36202701599762316,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.3715174521997628,,,,,,,,,-2.0177435484265698,-1.8820840028238905,,,,,,-0.9345443432330035
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.8295516650713552,,,,,,,,,-1.5572330376060832,-1.4979107105273421,,,,,,-2.255851456831614
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.742353798928778,,,,,,,,,-1.0484093861952495,-0.9276193980536701,,,,,,-2.641567684701158
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.513168106688413,,,,,,,,,-1.2537709253651133,-1.2243471590307924,,,,,,-0.9647863482006672
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4270771260210242,,,,,,,,,-1.7771563007512083,-1.182004292348289,,,,,,-1.7704330310566951
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.8476923019013305,,,,,,,,,-1.3773445656845427,-1.3131246250891053,,,,,,-1.067207447489166
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9345869128785361,,,,,,,,,-0.5263797220561064,-0.43982461480435936,,,,,,-0.06620423205113449
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.497144291801716,,,,,,,,,-0.5130116613874991,-0.5093832033198168,,,,,,-1.9652073055939288
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.7493339306615554,,,,,,,,,-2.09584487061685,-2.016438536996158,,,,,,-1.6959187274966037
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.3983203629727141,,,,,,,,,-1.9255339454662077,-1.7623724104797525,,,,,,-1.5267510177879773
